gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	lec_type
Erh	4.5058083349855244e-12	0.15693642213222997	0.615	0.41	8.667823494011654e-8	3.3166206932161645e-22	0.20077637924974084	0.633	0.32	6.3801832275399354e-18	4.5058083349855244e-12	6.633241386432359e-22	FRC
Gm11808	3.0523741563351314e-11	0.17079462714620552	0.741	0.613	5.871852164541892e-7	1.6355645824472843e-29	0.3015317501455506	0.776	0.459	3.1463355872538407e-25	3.0523741563351314e-11	3.271129164894583e-29	FRC
H2-Q4	9.250161451584233e-14	0.2656317514938047	0.631	0.532	1.7794535584412588e-9	1.3139184872342853e-8	0.16807766043944983	0.565	0.429	2.5275849938925945e-4	1.3139184872342853e-8	1.8500322903167577e-13	BEC
Actr3	1.5775759265267225e-8	0.1689137591872114	0.784	0.663	3.034782809859456e-4	1.723830258811341e-8	0.16396664137669004	0.819	0.641	3.316132268875377e-4	1.723830258811341e-8	3.155151828165987e-8	FRC
H2-Q4	7.933946740588352e-8	0.16817669974571525	0.728	0.617	0.0015262533344869813	1.6354598738522215e-22	0.2597093338505581	0.788	0.45	3.1461341593295185e-18	7.933946740588352e-8	3.270919747704459e-22	FRC
Isg15	1.4903641528948981e-9	0.44557667847806137	0.627	0.354	2.8670135209239155e-5	1.405627621602964e-7	0.31315179077726363	0.656	0.418	0.002704005855677622	1.405627621602964e-7	2.9807283035686054e-9	PvC
Bcar3	4.1559058193173483e-7	0.18068564310688062	0.349	0.138	0.007994716024620784	1.5056669571306358e-7	0.15342446751055588	0.412	0.204	0.002896451525432204	4.1559058193173483e-7	3.0113336875579706e-7	PvC
Gm11808	4.308894485460629e-7	0.2263484841068204	0.792	0.635	0.008289020321680612	1.155089518053071e-17	0.3637054533103571	0.809	0.479	2.2220457058786927e-13	4.308894485460629e-7	2.3101790361061393e-17	B cells
Gbp2	4.043125278659621e-8	0.34239605409684093	0.456	0.227	7.777760098557513e-4	1.0785563375778383e-6	0.16685349782176556	0.469	0.259	0.020748188265984874	1.0785563375778383e-6	8.086250393850599e-8	PvC
Sox9	2.845639333247165e-11	0.20524342815847307	0.383	0.206	5.474156385367572e-7	1.2211450097177149e-6	0.18947792270657887	0.359	0.221	0.023491166551939682	1.2211450097177149e-6	5.6912786664133394e-11	FRC
