gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	cell_type_2
H2-Q4	7.125620785810804e-14	0.2627030813513227	0.61	0.513	1.3707556705664242e-9	4.4366451460285674e-15	0.2230081354768122	0.572	0.384	8.534774267415155e-11	7.125620785810804e-14	8.87329029205716e-15	BEC
Gm11808	8.241297164293559e-14	0.17837608100207697	0.68	0.55	1.5853783354951519e-9	6.345456036961853e-32	0.2424723500949535	0.664	0.387	1.2206753778303518e-27	8.241297164293559e-14	1.2690912073923762e-31	FRC
Isg15	4.5226790049842645e-13	0.25396116970048466	0.39	0.24	8.70027760188823e-9	6.3290998770938956e-24	0.2975406302731303	0.48	0.238	1.2175289433565526e-19	4.5226790049842645e-13	1.2658199754187796e-23	FRC
H2-Q4	7.855143547090421e-11	0.28724515795715544	0.715	0.613	1.5110939641537843e-6	1.0720857245753247e-17	0.37254751306878997	0.654	0.306	2.0623713083655522e-13	7.855143547090421e-11	2.1441714491506577e-17	LEC
Irf7	1.7254352044298287e-10	0.283876434528007	0.376	0.179	3.3192197027616614e-6	2.7793144569986507e-16	0.387951384301796	0.386	0.13	5.346567220928304e-12	1.7254352044298287e-10	5.558628913997321e-16	LEC
Lgals9	2.092235623123114e-10	0.17334561810092702	0.54	0.413	4.024833668201934e-6	1.3247606784070865e-19	0.19592164652527166	0.587	0.348	2.5484421170517125e-15	2.092235623123114e-10	2.649521356814184e-19	FRC
Bst2	2.5882283126297124e-10	0.25924043650044726	0.796	0.748	4.978974805005778e-6	1.3914474778684872e-11	0.3988527697717208	0.837	0.586	2.676727513175609e-7	2.5882283126297124e-10	2.7828949557176078e-11	LEC
Hspb1	1.1664942781511323e-10	0.24933103461746436	0.518	0.382	2.243985042879333e-6	3.2310395426455645e-10	0.15238051573754796	0.61	0.407	6.215550768187273e-6	3.2310395426455645e-10	2.3329885561661877e-10	FRC
Zbp1	5.448186383807382e-10	0.2356882700896101	0.409	0.212	1.0480676146530261e-5	2.316679503966219e-22	0.3419509684293763	0.438	0.12	4.456596361779816e-18	5.448186383807382e-10	4.633359007932452e-22	LEC
Bst2	9.100410154472192e-10	0.22309511376441293	0.761	0.678	1.7506459014158156e-5	4.3364342256862085e-22	0.28380825388227504	0.872	0.634	8.34199851995256e-18	9.100410154472192e-10	8.672868451372417e-22	FRC
Gm4951	1.3248319930842772e-9	0.22181819949691467	0.285	0.108	2.548579305096224e-5	2.491375119997091e-13	0.18709760856306207	0.281	0.078	4.7926583183384045e-9	1.3248319930842772e-9	4.982750239993545e-13	LEC
Cxcl9	1.6873240497536916e-9	0.2053709070250987	0.206	0.102	3.245905274511177e-5	8.411741833431063e-10	0.21192836109948898	0.292	0.165	1.6181667764971336e-5	1.6873240497536916e-9	1.6823483659786377e-9	FRC
