gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	subtype
H2-Q4	3.4891790767633274e-16	0.279931433373121	0.629	0.51	6.712133789969613e-12	8.184296532961141e-13	0.20532643130842998	0.586	0.417	1.5744131240457348e-8	8.184296532961141e-13	6.978358153526648e-16	BEC
Irf7	2.4014866991589906e-10	0.2370264975011927	0.442	0.312	4.61973996317215e-6	3.0404881305267156e-10	0.1688944932673092	0.464	0.314	5.848987016694243e-6	3.0404881305267156e-10	4.802973397741255e-10	BEC
Irf7	5.049585917243818e-7	0.4866733853508368	0.491	0.164	0.009713888429001933	6.150984863030755e-7	0.7302419136527378	0.556	0.098	0.011832649581012265	6.150984863030755e-7	1.0099169284655844e-6	cLEC
Isg15	8.448900973402193e-7	0.41845229647406507	0.56	0.329	0.016253150802533797	1.1888908053666006e-8	0.3613354937900163	0.642	0.371	2.2870692422837297e-4	8.448900973402193e-7	2.377781596598585e-8	PvC
Gm11808	5.564819281850796e-8	0.2345771984474888	0.87	0.752	0.0010705042852496376	1.3355141887098117e-6	0.23856533894885001	0.816	0.618	0.025691286448210646	1.3355141887098117e-6	1.1129638254029453e-7	MRC
Gm11808	1.3230676461491642e-7	0.3021692204557558	0.546	0.302	0.002545185230897147	2.2475824919790413e-6	0.1743998801548166	0.473	0.255	0.04323674439820082	2.2475824919790413e-6	2.646135117247529e-7	PvC
Cd74	4.18405357871615e-6	0.28398300316425873	0.309	0.228	0.08048863869376258	2.690213827590541e-9	0.17975490641519226	0.379	0.238	5.1751643401359236e-5	4.18405357871615e-6	5.380427647943815e-9	BEC
H2-T23	6.7531258824681384e-6	0.16264827486833844	0.638	0.59	0.12990988260103958	4.9324812352828096e-11	0.21660857077621354	0.675	0.534	9.488614152313541e-7	6.7531258824681384e-6	9.864962470322309e-11	BEC
Cxcl9	8.520450774532696e-6	0.220695776958871	0.274	0.193	0.16390791154968548	9.546632536761499e-18	0.2990208789192746	0.422	0.232	1.8364857010968095e-13	8.520450774532696e-6	1.909326507352297e-17	BEC
Ifi203	8.559711378644758e-6	0.1674516347865983	0.58	0.514	0.16466316779098922	1.0137991116896049e-8	0.1884494303127522	0.631	0.481	1.9502453511572928e-4	8.559711378644758e-6	2.02759821310132e-8	BEC
Zbp1	1.0067627400240427e-5	0.17988496065223392	0.17	0.04	0.1936709482984251	1.1096830372254466e-6	0.1618178282370538	0.189	0.059	0.021346972587105918	1.0067627400240427e-5	2.2193648430544514e-6	PvC
Isg15	1.8659847855140634e-5	0.18223602876973766	0.545	0.471	0.3589594931893404	3.107338904522867e-10	0.20274462671506066	0.621	0.453	5.97758785063064e-6	1.8659847855140634e-5	6.214677808080161e-10	BEC
Tgtp2	5.470567862981944e-5	0.2161979472099813	0.241	0.095	1	1.192084298274862e-6	0.2023553276011611	0.277	0.112	0.022932125645913518	5.470567862981944e-5	2.384167175484748e-6	PvC
Mmp2	1.0381698751990739e-6	0.25533394974687695	0.968	0.949	0.019971273889204583	5.9599205817414086e-5	0.37166075469164817	1	0.759	1	5.9599205817414086e-5	2.076338672601457e-6	CD34+ SC
Gbp2	6.314634524311767e-5	0.31885484299046263	0.362	0.202	1	5.289858191033273e-7	0.15471196553402738	0.439	0.213	0.010176100202090707	6.314634524311767e-5	1.057971358380658e-6	PvC
Uba52	1.77931060985892e-9	0.1942672150673519	0.957	0.94	3.422859820185604e-5	7.335577434381166e-5	0.1563978746044863	0.954	0.913	1	7.335577434381166e-5	3.5586212165518822e-9	MRC
Txnip	7.470953859718098e-5	0.15382203582586584	0.603	0.543	1	1.3843082111004482e-8	0.16838719963984305	0.573	0.417	2.662993705693932e-4	7.470953859718098e-5	2.7686164030378006e-8	BEC
Gm4951	1.3118363561108077e-8	0.39995905384346775	0.415	0.055	2.523579598250361e-4	7.609630256276165e-5	0.20582384094722542	0.389	0.054	1	7.609630256276165e-5	2.6236726950124686e-8	cLEC
Rpl35	1.4817583442810955e-4	0.1732378541222208	0.933	0.843	1	1.469280150661308e-4	0.2866781997829295	0.923	0.729	1	1.4817583442810955e-4	2.938344422906501e-4	Ccl19lo TRC
Zbp1	2.2074133087412722e-5	0.3392214574781918	0.396	0.118	0.42464009820255855	1.5165562963726596e-4	0.2814581701359439	0.444	0.087	1	1.5165562963726596e-4	4.414777890747387e-5	cLEC
H2-Q4	1.7138999553042666e-4	0.18349813420749156	0.482	0.286	1	6.666215429489885e-6	0.17861492038007998	0.541	0.316	0.12823798621709692	1.7138999553042666e-4	1.3332386420551617e-5	PvC
Efemp1	3.33498461065979e-6	0.44304383641011835	0.548	0.314	0.06415509895526238	2.9135715885271685e-4	0.2992915109548796	0.636	0.295	1	2.9135715885271685e-4	6.669958099197232e-6	CD34+ SC
Uba52	3.098869800165552e-4	0.15593179731814677	0.911	0.861	1	5.159070467570663e-6	0.2905887501117578	0.97	0.683	0.09924503858465684	3.098869800165552e-4	1.031811431913324e-5	CD34+ SC
Bst2	3.625132207651773e-4	0.292108536341937	0.709	0.579	1	2.855990070875473e-7	0.3066076457707192	0.845	0.633	0.005494068099343147	3.625132207651773e-4	5.711979326083018e-7	PvC
