gene	1_p_val	1_avg_log2FC	1_pct.1	1_pct.2	1_p_val_adj	2_p_val	2_avg_log2FC	2_pct.1	2_pct.2	2_p_val_adj	max_pval	minimump_p_val	cell_type_2
Cxcl9	0	1.9700877317964973	0.997	0.264	0	5.4670161203558294e-285	1.810354596543834	0.999	0.422	1.1509709038185127e-280	5.4670161203558294e-285	0	BEC
Cxcl9	0	2.1089971143573516	0.998	0.206	0	2.645970570752544e-259	1.9978320306411983	0.999	0.292	5.570561842605331e-255	2.645970570752544e-259	0	FRC
Cxcl10	0	1.729030387084837	0.992	0.296	0	4.2835060701182854e-249	1.4868301526537082	0.991	0.444	9.018065329420027e-245	4.2835060701182854e-249	0	BEC
Gbp2	1.4477216351613352e-296	1.5597095106056535	0.955	0.363	3.047888358505159e-292	7.735070563347249e-245	1.57841016794624	0.949	0.382	1.6284644057014963e-240	7.735070563347249e-245	2.8954432703224765e-296	BEC
Iigp1	8.615185112447636e-264	1.1177236459063677	0.952	0.531	1.813754921723601e-259	3.325402818110364e-240	1.2124848958237209	0.964	0.582	7.000970552967749e-236	3.325402818110364e-240	1.7230370224895135e-263	BEC
Iigp1	8.850886845817083e-307	1.423061715974894	0.99	0.492	1.8633772076498704e-302	3.3600008744473714e-230	1.39587811246647	0.986	0.497	7.073809840974051e-226	3.3600008744473714e-230	1.7701773691633136e-306	FRC
Ifitm3	1.5697537600860346e-263	0.3819598551348746	0.999	0.957	3.3048025911091285e-259	1.981855632613178e-228	0.31061401654057663	0.999	0.978	4.1724006633405237e-224	1.981855632613178e-228	3.1395075201719518e-263	BEC
Gbp4	1.4559671079583948e-258	1.329730183004676	0.921	0.369	3.0652475523848087e-254	2.5508227632721857e-225	1.4393182324266482	0.919	0.365	5.370247163516932e-221	2.5508227632721857e-225	2.9119342159167554e-258	BEC
Cxcl10	1.3714807836204675e-284	1.432710626093357	0.996	0.51	2.8873784937561703e-280	5.030805968401663e-223	1.3000700565719394	0.997	0.594	1.059135580527602e-218	5.030805968401663e-223	2.7429615672409165e-284	FRC
Ly6a	1.4831757707691622e-222	0.6659425113854212	0.984	0.813	3.1225299502003173e-218	1.0429437421347169e-234	0.8399848124284572	0.986	0.765	2.1957094603162194e-230	1.4831757707691622e-222	2.085887484269402e-234	BEC
Ifi203	2.816595509549182e-286	1.3074938838309083	0.969	0.554	5.929778526253893e-282	1.2665854125482668e-219	1.1740268609976061	0.968	0.603	2.666542269037866e-215	1.2665854125482668e-219	5.633191019098081e-286	FRC
Gbp2	3.527146274810431e-274	1.4097628650949254	0.96	0.322	7.4257010523584e-270	1.2544446074739386e-218	1.3595774927655793	0.951	0.36	2.640982232114883e-214	1.2544446074739386e-218	7.054292549620589e-274	FRC
Isg15	3.242884085139997e-256	1.1674387224407283	0.949	0.529	6.827243864445235e-252	3.110598450407108e-218	1.0679131795434325	0.959	0.614	6.548742917642084e-214	3.110598450407108e-218	6.485768170279615e-256	BEC
Ifi204	9.428401114123823e-271	1.317053642845932	0.947	0.244	1.9849612865564885e-266	1.2754562626042576e-216	1.37665761729525	0.924	0.135	2.6852180696607434e-212	1.2754562626042576e-216	1.8856802228245596e-270	FRC
Clic4	2.3552364663857174e-277	0.8037715050646332	0.984	0.837	4.958479332681851e-273	1.5975167604593913e-214	0.6924227001786454	0.986	0.877	3.3632520357951564e-210	1.5975167604593913e-214	4.710472932771202e-277	FRC
Bst2	6.739091001238017e-281	1.042486316266766	0.984	0.761	1.4187808284906396e-276	4.873469540385651e-213	0.83775748161001	0.984	0.872	1.0260115423373912e-208	4.873469540385651e-213	1.3478182002474861e-280	FRC
Gbp4	7.890484094676575e-269	1.354904379899863	0.905	0.088	1.6611836164522595e-264	1.019591962219763e-211	1.3780894744920378	0.907	0.114	2.146546958061267e-207	1.019591962219763e-211	1.578096818935241e-268	FRC
Bst2	2.5476659092992536e-237	0.6637155762534241	0.978	0.799	5.363601038847719e-233	4.267629108416347e-211	0.5896528635091187	0.981	0.819	8.984639561948934e-207	4.267629108416347e-211	5.095331818598246e-237	BEC
Calhm6	1.6868462124599705e-283	1.5652724846449486	0.928	0.076	3.5513173310919755e-279	1.6957186629874873e-210	1.5162829939064262	0.904	0.128	3.5699965011875573e-206	1.6957186629874873e-210	3.3736924249195883e-283	FRC
