Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BEC	GO:0001944	vasculature development	31/192	522/9492	5.1616103770468574e-8	1.6532638037681084e-4	1.383311581048558e-4	Hmgb1/Nedd4/Clec14a/Atp2b4/Smarca2/Nrp1/Aqp1/Jam3/Nr4a1/Cav1/Sox18/Pde2a/Ramp2/Mfge8/Gtf2i/Tspan12/Pdcd4/Cxcl12/Apoe/Egr1/Tgfbr3/Cd34/Tie1/Enpp2/Mef2c/Plxnd1/Plk2/Tek/Esm1/Ptprb/Glul	31
BEC	GO:0050877	nervous system process	26/192	408/9492	1.784819612695361e-7	2.196544181237544e-4	1.8378827367207675e-4	Gnas/Aplp2/Grcc10/Btg2/Aqp1/Jam3/Dbi/Nr4a1/Slc9a3r2/Pnkd/Myo6/Cxcl12/Thra/Apoe/Ednrb/Psap/Egr1/Fabp5/Mgll/Slc29a1/Mapk3/Spr/Mef2c/Tcf15/Plk2/Lxn	26
BEC	GO:0001667	ameboidal-type cell migration	20/192	306/9492	3.5619545373262704e-6	0.0014261175478820056	0.0011932547700043007	Hmgb1/Clec14a/Atp2b4/Nrp1/Aqp1/Ptp4a3/Nr4a1/Syne2/Scarb1/Cxcl12/Apoe/Ednrb/Tgfbr3/Enpp2/Mef2c/Plxnd1/Plk2/Tek/Lamtor2/Glul	20
BEC	GO:0003013	circulatory system process	19/192	283/9492	4.2847355865388205e-6	0.0015248897870759825	0.0012758990413248934	Gnas/Atp2b4/Abcb1a/Ptp4a3/Cav1/Pde2a/Ramp2/Abcg2/Thra/Atp5j/Apoe/Ednrb/Gas6/Fabp5/Mgll/Tgfbr3/Cd34/Ctnnbip1/Gna11	19
BEC	GO:0050673	epithelial cell proliferation	18/192	266/9492	6.957840615599345e-6	0.0021333616604952785	0.0017850169372860903	Hmgb1/Igfbp4/Nr4a1/Cav1/Nfib/Mtss1/Ctsl/Scarb1/Cav2/Cxcl12/Apoe/Ednrb/Tgfbr3/Cd34/Tie1/Mef2c/Tek/Glul	18
BEC	GO:0090132	epithelium migration	16/192	221/9492	9.887364925825546e-6	0.002323199167620929	0.001943856937004087	Hmgb1/Clec14a/Atp2b4/Nrp1/Aqp1/Ptp4a3/Nr4a1/Scarb1/Apoe/Tgfbr3/Enpp2/Mef2c/Plxnd1/Plk2/Tek/Glul	16
BEC	GO:0090130	tissue migration	16/192	222/9492	1.046821158221119e-5	0.002323199167620929	0.001943856937004087	Hmgb1/Clec14a/Atp2b4/Nrp1/Aqp1/Ptp4a3/Nr4a1/Scarb1/Apoe/Tgfbr3/Enpp2/Mef2c/Plxnd1/Plk2/Tek/Glul	16
BEC	GO:0048646	anatomical structure formation involved in morphogenesis	31/192	711/9492	3.544035530060152e-5	0.005675772901391334	0.004749007610280604	Hmgb1/Gnas/Cd81/Clec14a/Atp2b4/Nrp1/Aqp1/Jam3/Nr4a1/Cav1/Sox18/Nfib/Ramp2/Mfge8/Gtf2i/Tspan12/Cxcl12/Psap/Tgfbr3/Cd34/Mapk3/Tie1/Enpp2/Mef2c/Plxnd1/Tcf15/Plk2/Tek/Esm1/Ptprb/Glul	31
BEC	GO:0006811	ion transport	28/192	619/9492	4.6631497586914476e-5	0.006828524979425724	0.0057135332328632354	Atox1/Gnas/Nedd4/Dpysl2/Atp2b4/Tspan13/Aqp1/Abcb1a/Dbi/Cav1/Slc6a6/Cracr2b/Ramp2/Ifngr1/Tcn2/Pink1/Slc9a3r2/Myo6/Abcg2/Cxcl12/Atp5j/Ednrb/Psap/Gas6/Sec14l1/Klhl24/Mef2c/Slco2b1	28
BEC	GO:0006869	lipid transport	14/192	198/9492	4.690213847872805e-5	0.006828524979425724	0.0057135332328632354	Selenom/Fabp4/Rbp7/Abcb1a/Dbi/Scarb1/Abcg2/Atp5j/Apoe/Psap/Gpihbp1/Fabp5/Scp2/Slco2b1	14
BEC	GO:0050678	regulation of epithelial cell proliferation	15/192	225/9492	4.958662843090807e-5	0.0069054769940955895	0.005777920182384072	Hmgb1/Nr4a1/Cav1/Nfib/Mtss1/Ctsl/Cav2/Cxcl12/Apoe/Ednrb/Tgfbr3/Tie1/Mef2c/Tek/Glul	15
BEC	GO:0010876	lipid localization	15/192	237/9492	8.96032043334958e-5	0.009896519430351278	0.008280571986681683	Selenom/Fabp4/Rbp7/Abcb1a/Dbi/Cav1/Scarb1/Abcg2/Atp5j/Apoe/Psap/Gpihbp1/Fabp5/Scp2/Slco2b1	15
BEC	GO:0044057	regulation of system process	17/192	295/9492	9.72430847448813e-5	0.010264069241276411	0.008588106639594374	Gnas/Atp2b4/Grcc10/Aqp1/Abcb1a/Nr4a1/Cav1/Gtf2i/Abcg2/Thra/Atp5j/Apoe/Ednrb/Gas6/Fabp5/Mgll/Mef2c	17
BEC	GO:0150104	transport across blood-brain barrier	4/192	13/9492	1.0055264261409705e-4	0.010264069241276411	0.008588106639594374	Abcb1a/Abcg2/Apoe/Fabp5	4
BEC	GO:0042445	hormone metabolic process	8/192	73/9492	1.0574907429351281e-4	0.010264069241276411	0.008588106639594374	Selenom/Sult1a1/Ctsl/Scarb1/Ednrb/Egr1/Scp2/Dhrs7	8
BEC	GO:0120254	olefinic compound metabolic process	6/192	39/9492	1.1853013304619044e-4	0.010847200461341373	0.009076021616108298	Gpx4/Ednrb/Egr1/Mgll/Scp2/Dhrs7	6
BEC	GO:0032835	glomerulus development	6/192	40/9492	1.371256389758732e-4	0.01167865569333326	0.00977171316207716	Aqp1/Mtss1/Ednrb/Egr1/Mef2c/Tek	6
BEC	GO:0099537	trans-synaptic signaling	17/192	308/9492	1.6404198434749368e-4	0.013472473740128775	0.011272628667981618	Nedd4/Dbi/Nr4a1/Slc6a6/Pink1/Pnkd/Myo6/Cav2/Apoe/Egr1/Fabp5/Mgll/Slc29a1/Clstn1/Mef2c/Plk2/Glul	17
BEC	GO:0070633	transepithelial transport	4/192	15/9492	1.8596033600970968e-4	0.014890773905977503	0.01245934251265055	Aqp1/Abcb1a/Abcg2/Ednrb	4
BEC	GO:0007186	G protein-coupled receptor signaling pathway	14/192	229/9492	2.21754751102036e-4	0.017323913848288325	0.014495188608620889	Gng11/Gnas/Atp2b4/Cav1/Adgrl4/Pde2a/Ramp2/Kctd12b/Apoe/Ednrb/Psap/Mgll/Gna11/Prex2	14
BEC	GO:0099177	regulation of trans-synaptic signaling	14/192	233/9492	2.651918955458005e-4	0.019753712591469744	0.01652823907122664	Nedd4/Dbi/Slc6a6/Pink1/Pnkd/Myo6/Apoe/Egr1/Fabp5/Mgll/Clstn1/Mef2c/Plk2/Glul	14
BEC	GO:0043114	regulation of vascular permeability	5/192	30/9492	3.035700036554058e-4	0.021201457640964372	0.01773958990876819	Ptp4a3/Pde2a/Ramp2/Apoe/Ctnnbip1	5
BEC	GO:0060548	negative regulation of cell death	28/192	691/9492	3.0448549843408086e-4	0.021201457640964372	0.01773958990876819	Atox1/Gpx4/Ptms/Cst3/Btg2/Nrp1/Aqp1/Abcb1a/Nr4a1/Bnip3l/Cav1/Pde2a/Ramp2/Pink1/Pdcd4/Cxcl12/Apoe/Ednrb/Psap/Gas6/Bok/Tsc22d1/Tgfbr3/Cd34/Nenf/Mef2c/Plk2/Tek	28
BEC	GO:0034330	cell junction organization	19/192	389/9492	3.2766229051206476e-4	0.021864631593961324	0.018294477886923618	Sparcl1/Nfia/Nedd4/Nrp1/Jam3/Cav1/Dusp3/Limch1/Ramp2/Mtss1/Myo6/Abhd17a/Apoe/Enpp2/Clstn1/Mef2c/Plxnd1/Tek/Lamtor2	19
BEC	GO:0043269	regulation of ion transport	16/192	300/9492	3.7650211201427575e-4	0.024610944179218882	0.02059236041220937	Gnas/Nedd4/Dpysl2/Atp2b4/Tspan13/Abcb1a/Dbi/Cav1/Cracr2b/Ifngr1/Pink1/Slc9a3r2/Cxcl12/Atp5j/Klhl24/Mef2c	16
BEC	GO:2000145	regulation of cell motility	26/192	635/9492	4.347319236729327e-4	0.02578604354674821	0.02157558436006407	Hmgb1/Cd81/Atp2b4/Nrp1/Aqp1/Jam3/Hoxa7/Cav1/Dusp3/Syne2/Limch1/Arhgap18/Mpzl1/Cxcl12/Apoe/Gas6/Egr1/Tgfbr3/Mapk3/Tie1/Enpp2/Mef2c/Plxnd1/Plk2/Tek/Glul	26
BEC	GO:0035924	cellular response to vascular endothelial growth factor stimulus	6/192	50/9492	4.8009786661798367e-4	0.026456288074815634	0.02213638839853447	Atp2b4/Nrp1/Ptp4a3/Nr4a1/Ramp2/Tspan12	6
BEC	GO:0007588	excretion	4/192	19/9492	4.955907850418165e-4	0.026456288074815634	0.02213638839853447	Gnas/Abcg2/Ednrb/Psap	4
BEC	GO:0034381	plasma lipoprotein particle clearance	4/192	19/9492	4.955907850418165e-4	0.026456288074815634	0.02213638839853447	Scarb1/Apoe/Gpihbp1/Cnpy2	4
