Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BEC	GO:0043207	response to external biotic stimulus	97/195	730/9492	5.69929709142587e-57	7.939120848356238e-54	6.599186105861534e-54	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/AA467197/Samhd1/Zbp1/Gbp5/Gbp7/Gbp3/Gbp2/Ifi44/Isg15/Il6/Cxcl9/Cxcl10/Gbp4/Gbp6/Oasl2/Oasl1/Usp18/Isg20/Trim30a/Ifitm3/Irf7/Bst2/Irf8/Irgm1/Tgtp1/Igtp/Lgals9/Ccl2/Slfn2/Rnf213/Rsad2/Cmpk2/Serpina3f/Ly6a/Cd47/Ubd/Iigp1/Batf2/Jak2/Cd274/Ch25h/Ifit2/Ifit3/Ifit3b/Ifit1/Tap1/Herc6/Dtx3l/Adamts4/Sp110/Parp14/Trafd1/Il15/Cfb/Slfn9/Nt5c3/Rtp4/Ccl7/Casp4/Irgm2/Dhx58/Socs1/Trim30d/Ifih1/Mlkl/Slc15a3/Litaf/Cd40/Znfx1/Pml/Rnf19b/Eif2ak2/Gch1/Ifi35/Stat1/Nmi/Mt2/Chd7/Parp9/Il4ra/Nlrc5/Sp100/Serping1/Stat2/Cflar/Ifit1bl1/Slfn4/Gbp10	97
BEC	GO:0051707	response to other organism	97/195	730/9492	5.69929709142587e-57	7.939120848356238e-54	6.599186105861534e-54	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/AA467197/Samhd1/Zbp1/Gbp5/Gbp7/Gbp3/Gbp2/Ifi44/Isg15/Il6/Cxcl9/Cxcl10/Gbp4/Gbp6/Oasl2/Oasl1/Usp18/Isg20/Trim30a/Ifitm3/Irf7/Bst2/Irf8/Irgm1/Tgtp1/Igtp/Lgals9/Ccl2/Slfn2/Rnf213/Rsad2/Cmpk2/Serpina3f/Ly6a/Cd47/Ubd/Iigp1/Batf2/Jak2/Cd274/Ch25h/Ifit2/Ifit3/Ifit3b/Ifit1/Tap1/Herc6/Dtx3l/Adamts4/Sp110/Parp14/Trafd1/Il15/Cfb/Slfn9/Nt5c3/Rtp4/Ccl7/Casp4/Irgm2/Dhx58/Socs1/Trim30d/Ifih1/Mlkl/Slc15a3/Litaf/Cd40/Znfx1/Pml/Rnf19b/Eif2ak2/Gch1/Ifi35/Stat1/Nmi/Mt2/Chd7/Parp9/Il4ra/Nlrc5/Sp100/Serping1/Stat2/Cflar/Ifit1bl1/Slfn4/Gbp10	97
BEC	GO:0035456	response to interferon-beta	29/195	48/9492	1.1362202033282284e-37	6.331018972944889e-35	5.262493573309689e-35	Ifi206/Ifi213/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Gbp7/Gbp3/Gbp2/Gbp6/Ifitm3/Bst2/Irgm1/Tgtp1/Ifi47/Igtp/Gm4951/Iigp1/Ifit3/Ifit1/Tgtp2/Xaf1/Irgm2/F830016B08Rik/Stat1	29
BEC	GO:0035458	cellular response to interferon-beta	26/195	42/9492	3.074213984501094e-34	1.2235371658314354e-31	1.0170331978800612e-31	Ifi206/Ifi213/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Gbp7/Gbp3/Gbp2/Gbp6/Irgm1/Tgtp1/Ifi47/Igtp/Gm4951/Iigp1/Ifit3/Ifit1/Tgtp2/Irgm2/F830016B08Rik/Stat1	26
BEC	GO:0002831	regulation of response to biotic stimulus	38/195	227/9492	1.865542300580342e-24	3.7124291781548806e-22	3.085859444568987e-22	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Samhd1/Zbp1/Gbp5/Isg15/Gbp4/Oasl1/Trim30a/Irf7/Irgm1/Igtp/Lgals9/Cd274/Tap1/Dtx3l/Parp14/Trafd1/Il15/Dhx58/Socs1/Trim30d/Znfx1/Pml/Ifi35/Stat1/Nmi/Parp9/Nlrc5/Serping1/Stat2	38
BEC	GO:0045088	regulation of innate immune response	31/195	142/9492	1.1724375661094215e-23	2.177607372787232e-21	1.8100790494320895e-21	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Samhd1/Zbp1/Gbp5/Isg15/Trim30a/Irf7/Irgm1/Igtp/Lgals9/Tap1/Parp14/Trafd1/Dhx58/Socs1/Trim30d/Znfx1/Ifi35/Nmi/Parp9/Nlrc5/Serping1/Stat2	31
BEC	GO:0050776	regulation of immune response	49/195	460/9492	1.841581484883955e-22	3.2066537605541865e-20	2.6654468860162507e-20	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Samhd1/Zbp1/Gbp5/Isg15/Il6/Oasl1/Trim30a/Irf7/Irgm1/Igtp/Lgals9/Rsad2/Pnp/Cd47/Tapbp/H2-T23/Cd274/Tap1/Cd200/H2-Q4/Parp14/Trafd1/Il15/Cfb/Dhx58/Socs1/Trim30d/Ifih1/Slc15a3/Cd40/Znfx1/H2-T22/Ifi35/Nmi/Parp9/Il4ra/Nlrc5/Serping1/Phf11a/Stat2	49
BEC	GO:0031347	regulation of defense response	41/195	360/9492	7.758210019154626e-20	1.2714337125508698e-17	1.0568459468817446e-17	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Samhd1/Zbp1/Gbp5/Isg15/Il6/Gbp4/Trim30a/Irf7/Irgm1/Igtp/Lgals9/Cd47/Jak2/Tap1/Cd200/Dtx3l/Parp14/Trafd1/Il15/Casp4/Dhx58/Socs1/Trim30d/Znfx1/Pml/Ifi35/Stat1/Nmi/Parp9/Nlrc5/Serping1/Stat2	41
BEC	GO:0032101	regulation of response to external stimulus	47/195	541/9492	7.493976994974424e-18	9.9420094799994e-16	8.264034781425428e-16	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Samhd1/Zbp1/Gbp5/Isg15/Il6/Cxcl10/Gbp4/Oasl1/Trim30a/Irf7/Irgm1/Igtp/Lgals9/Ccl2/Cd47/Jak2/Tap1/Cd200/Dtx3l/Parp14/Trafd1/Il15/Ccl7/Thbs1/Casp4/Dhx58/Socs1/Trim30d/Znfx1/Pml/Angpt2/Ifi35/Stat1/Nmi/Parp9/Nlrc5/Serping1/Stat2	47
BEC	GO:0002684	positive regulation of immune system process	42/195	489/9492	9.04477414395958e-16	9.691823371181305e-14	8.056074136320275e-14	Ifi206/Ifi209/Ifi208/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Zbp1/Gbp5/Il6/Cxcl10/Trim30a/Irf7/Irgm1/Igtp/Lgals9/Ccl2/Rsad2/Pnp/Cd47/H2-T23/Jak2/Cd274/H2-Q4/Il15/Cfb/Ccl7/Thbs1/Dhx58/Socs1/Trim30d/Cd40/Znfx1/H2-T22/Ifi35/Nmi/Parp9/Il4ra/Nlrc5/Serping1	42
